Country Name,Country Code,"2001 [YR2001] - Population, total [SP.POP.TOTL]","2002 [YR2002] - Population, total [SP.POP.TOTL]","2003 [YR2003] - Population, total [SP.POP.TOTL]","2004 [YR2004] - Population, total [SP.POP.TOTL]","2005 [YR2005] - Population, total [SP.POP.TOTL]","2006 [YR2006] - Population, total [SP.POP.TOTL]","2007 [YR2007] - Population, total [SP.POP.TOTL]","2008 [YR2008] - Population, total [SP.POP.TOTL]","2009 [YR2009] - Population, total [SP.POP.TOTL]","2010 [YR2010] - Population, total [SP.POP.TOTL]","2011 [YR2011] - Population, total [SP.POP.TOTL]","2012 [YR2012] - Population, total [SP.POP.TOTL]","2013 [YR2013] - Population, total [SP.POP.TOTL]","2014 [YR2014] - Population, total [SP.POP.TOTL]","2015 [YR2015] - Population, total [SP.POP.TOTL]","2016 [YR2016] - Population, total [SP.POP.TOTL]","2017 [YR2017] - Population, total [SP.POP.TOTL]","2018 [YR2018] - Population, total [SP.POP.TOTL]","2019 [YR2019] - Population, total [SP.POP.TOTL]","2020 [YR2020] - Population, total [SP.POP.TOTL]","2021 [YR2021] - Population, total [SP.POP.TOTL]","2022 [YR2022] - Population, total [SP.POP.TOTL]","2023 [YR2023] - Population, total [SP.POP.TOTL]","2024 [YR2024] - Population, total [SP.POP.TOTL]","2025 [YR2025] - Population, total [SP.POP.TOTL]","2026 [YR2026] - Population, total [SP.POP.TOTL]","2027 [YR2027] - Population, total [SP.POP.TOTL]","2028 [YR2028] - Population, total [SP.POP.TOTL]","2029 [YR2029] - Population, total [SP.POP.TOTL]","2030 [YR2030] - Population, total [SP.POP.TOTL]","2031 [YR2031] - Population, total [SP.POP.TOTL]","2032 [YR2032] - Population, total [SP.POP.TOTL]","2033 [YR2033] - Population, total [SP.POP.TOTL]","2034 [YR2034] - Population, total [SP.POP.TOTL]","2035 [YR2035] - Population, total [SP.POP.TOTL]","2036 [YR2036] - Population, total [SP.POP.TOTL]","2037 [YR2037] - Population, total [SP.POP.TOTL]","2038 [YR2038] - Population, total [SP.POP.TOTL]","2039 [YR2039] - Population, total [SP.POP.TOTL]","2040 [YR2040] - Population, total [SP.POP.TOTL]","2041 [YR2041] - Population, total [SP.POP.TOTL]","2042 [YR2042] - Population, total [SP.POP.TOTL]","2043 [YR2043] - Population, total [SP.POP.TOTL]","2044 [YR2044] - Population, total [SP.POP.TOTL]","2045 [YR2045] - Population, total [SP.POP.TOTL]","2046 [YR2046] - Population, total [SP.POP.TOTL]","2047 [YR2047] - Population, total [SP.POP.TOTL]","2048 [YR2048] - Population, total [SP.POP.TOTL]","2049 [YR2049] - Population, total [SP.POP.TOTL]","2050 [YR2050] - Population, total [SP.POP.TOTL]"
Argentina,ARG,37275644,37681743,38087866,38491970,38892924,39289876,39684303,40080159,40482786,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46210000,46607000,47000000,47387000,47769000,48145000,48515000,48879000,49237000,49588000,49932000,50270000,50601000,50925000,51244000,51556000,51861000,52161000,52454000,52740000,53019000,53293000,53559000,53819000,54073000,54320000,54561000,54795000,55020000
Armenia,ARM,3050686,3033976,3017938,3000715,2981262,2958301,2932615,2907615,2888094,2877314,2876536,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234,2968128,2972000,2975000,2977000,2977000,2977000,2976000,2974000,2971000,2967000,2963000,2958000,2952000,2947000,2940000,2934000,2927000,2920000,2913000,2905000,2897000,2890000,2882000,2873000,2865000,2856000,2846000,2837000,2827000,2816000
Aruba,ABW,92892,94992,97016,98744,100028,100830,101226,101362,101452,101665,102050,102565,103165,103776,104339,104865,105361,105846,106310,106766,107195,108000,108000,108000,109000,109000,109000,110000,110000,110000,110000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,110000,110000,110000,110000,109000,109000,109000,109000
Australia,AUS,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25365745,25693267,25739256,26010000,26278000,26542000,26803000,27062000,27317000,27569000,27817000,28062000,28303000,28541000,28776000,29009000,29239000,29466000,29692000,29916000,30139000,30362000,30583000,30805000,31025000,31246000,31466000,31687000,31907000,32127000,32347000,32564000
Austria,AUT,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8956279,8970000,8978000,8985000,8995000,9007000,9020000,9034000,9047000,9058000,9067000,9075000,9081000,9086000,9089000,9091000,9092000,9090000,9087000,9082000,9075000,9067000,9056000,9045000,9032000,9018000,9003000,8987000,8972000,8955000
Azerbaijan,AZE,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10145212,10220000,10289000,10353000,10412000,10467000,10519000,10567000,10612000,10654000,10695000,10733000,10770000,10805000,10837000,10868000,10895000,10919000,10941000,10958000,10972000,10982000,10988000,10990000,10989000,10985000,10979000,10970000,10959000,10944000
"Bahamas, The",BHS,302618,307657,313123,318893,324848,331032,337387,343680,349600,354936,359583,363581,367162,370625,374200,377923,381749,385635,389486,393248,396914,401000,404000,408000,411000,414000,418000,421000,424000,427000,430000,432000,435000,438000,440000,442000,445000,447000,449000,450000,452000,454000,455000,457000,458000,459000,460000,462000,462000,463000
Bahrain,BHR,697550,735140,778708,829846,889157,958423,1035924,1114645,1185075,1240864,1278153,1299942,1315029,1336073,1371853,1425793,1494077,1569440,1641164,1701583,1748295,1784000,1812000,1838000,1865000,1895000,1926000,1957000,1986000,2013000,2038000,2060000,2081000,2100000,2119000,2137000,2154000,2170000,2185000,2200000,2214000,2227000,2240000,2253000,2265000,2276000,2287000,2297000,2307000,2316000
Bangladesh,BGD,130088709,132478077,134791598,136986429,139035505,140921154,142660381,144304164,145924795,147575433,149273134,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383,166303494,167886000,169432000,170937000,172399000,173814000,175180000,176498000,177769000,178994000,180171000,181300000,182377000,183403000,184374000,185291000,186152000,186960000,187715000,188417000,189066000,189663000,190208000,190701000,191142000,191532000,191871000,192157000,192390000,192568000
Barbados,BRB,272494,273423,274331,275283,276320,277475,278701,279946,281107,282131,282987,283698,284294,284825,285327,285798,286229,286640,287021,287371,287708,288000,288000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,288000,288000,287000,287000,286000,285000,284000,283000,283000,282000,280000,279000,278000,277000
Belarus,BLR,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9340314,9328000,9313000,9296000,9277000,9257000,9236000,9213000,9188000,9160000,9130000,9098000,9064000,9027000,8989000,8951000,8912000,8873000,8836000,8800000,8765000,8731000,8698000,8667000,8636000,8606000,8577000,8549000,8523000,8496000
Belgium,BEL,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11544241,11587882,11618000,11647000,11676000,11705000,11735000,11764000,11792000,11818000,11842000,11864000,11885000,11904000,11922000,11939000,11956000,11971000,11986000,12000000,12013000,12026000,12037000,12047000,12057000,12065000,12072000,12078000,12084000,12089000,12093000
Belize,BLZ,255068,262387,269428,276516,283798,291338,299031,306822,314655,322465,330236,338001,345707,353366,360926,368399,375775,383071,390351,397621,404915,412000,419000,427000,434000,441000,448000,454000,461000,468000,474000,480000,487000,493000,499000,504000,510000,516000,521000,526000,531000,536000,541000,546000,550000,555000,559000,563000,567000,571000
Benin,BEN,7076728,7295400,7520556,7750003,7982223,8216893,8454790,8696915,8944713,9199254,9460829,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151,12123198,12451031,12785000,13124000,13470000,13822000,14180000,14544000,14915000,15291000,15672000,16060000,16453000,16851000,17254000,17663000,18076000,18494000,18917000,19344000,19775000,20210000,20649000,21091000,21537000,21986000,22439000,22895000,23354000,23816000,24280000
Bermuda,BMU,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65138,65237,64554,63873,63918,63911,63893,63867,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,603643,616025,627840,638809,648744,657404,664873,671611,678329,685502,693297,701582,710235,719053,727885,736706,745563,754396,763094,771612,779900,788000,796000,803000,811000,818000,824000,831000,837000,843000,848000,853000,858000,863000,867000,871000,875000,879000,882000,885000,888000,891000,893000,895000,897000,899000,901000,902000,904000,905000
Bolivia,BOL,8580244,8742822,8905820,9069044,9232301,9395449,9558438,9721457,9884790,10048597,10212951,10377677,10542375,10706517,10869732,11031822,11192853,11353140,11513102,11673029,11832936,11993000,12152000,12311000,12468000,12625000,12781000,12936000,13089000,13240000,13390000,13538000,13684000,13828000,13971000,14111000,14250000,14387000,14521000,14653000,14783000,14910000,15035000,15157000,15277000,15395000,15510000,15623000,15733000,15840000
Bosnia and Herzegovina,BIH,3755514,3759389,3762179,3764194,3765332,3765422,3762791,3754261,3735945,3705478,3661173,3604972,3542598,3482106,3429362,3386263,3351534,3323929,3300998,3280815,3263459,3249000,3237000,3225000,3212000,3197000,3181000,3163000,3145000,3127000,3108000,3089000,3070000,3050000,3030000,3009000,2988000,2967000,2945000,2923000,2901000,2878000,2855000,2831000,2808000,2784000,2759000,2735000,2710000,2685000
Botswana,BWA,1674674,1704637,1734387,1765533,1799077,1835911,1875458,1915636,1953495,1987106,2015406,2039551,2062551,2088619,2120716,2159925,2205076,2254067,2303703,2351625,2397240,2441000,2484000,2526000,2568000,2610000,2651000,2693000,2734000,2774000,2815000,2855000,2895000,2935000,2975000,3014000,3053000,3092000,3130000,3168000,3205000,3242000,3278000,3313000,3348000,3382000,3415000,3447000,3479000,3510000
Brazil,BRA,177196051,179537523,181809244,184006479,186127108,188167353,190130445,192030362,193886505,195713637,197514541,199287292,201035904,202763744,204471759,206163056,207833825,209469320,211049519,212559409,213993441,215354000,216642000,217863000,219021000,220115000,221143000,222107000,223009000,223852000,224636000,225362000,226029000,226636000,227184000,227672000,228103000,228477000,228795000,229059000,229269000,229427000,229534000,229593000,229605000,229570000,229491000,229366000,229196000,228980000
British Virgin Islands,VGB,20675,21128,21674,22329,23106,24022,25050,26096,27035,27796,28326,28654,28850,28985,29148,29355,29567,29795,30033,30237,30423,31000,31000,31000,31000,31000,31000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
Brunei Darussalam,BRN,340037,346777,353295,359434,365112,370262,374967,379418,383902,388634,393687,398997,404414,409778,414914,419791,424481,428960,433296,437483,441532,445000,449000,453000,456000,459000,463000,466000,468000,471000,473000,476000,478000,480000,482000,483000,485000,486000,488000,489000,490000,491000,491000,492000,492000,493000,493000,493000,493000,492000
Bulgaria,BGR,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6899125,6846000,6793000,6740000,6686000,6631000,6576000,6520000,6463000,6406000,6349000,6292000,6236000,6179000,6124000,6070000,6016000,5963000,5911000,5860000,5810000,5760000,5712000,5664000,5616000,5569000,5523000,5476000,5430000,5383000
Burkina Faso,BFA,11944589,12293097,12654624,13030576,13421935,13829173,14252029,14689725,15141098,15605211,16081915,16571252,17072791,17586029,18110616,18646350,19193236,19751466,20321383,20903278,21497097,22103000,22721000,23352000,23995000,24652000,25321000,26003000,26698000,27404000,28122000,28852000,29593000,30344000,31106000,31878000,32658000,33448000,34246000,35051000,35863000,36682000,37507000,38339000,39176000,40018000,40866000,41718000,42574000,43432000
Burundi,BDI,6525546,6704118,6909161,7131688,7364857,7607850,7862226,8126104,8397661,8675606,8958406,9245992,9540302,9844301,10160034,10488002,10827010,11175379,11530577,11890781,12255429,12625000,12999000,13379000,13764000,14155000,14551000,14952000,15360000,15773000,16192000,16618000,17049000,17487000,17932000,18383000,18841000,19305000,19776000,20253000,20736000,21226000,21721000,22222000,22728000,23239000,23754000,24274000,24798000,25325000
Cabo Verde,CPV,435701,442955,449925,456619,463034,469171,475067,480846,486667,492644,498858,505241,511740,518276,524740,531140,537499,543764,549936,555988,561901,568000,573000,579000,584000,590000,595000,600000,605000,610000,615000,620000,624000,629000,633000,637000,641000,645000,649000,652000,656000,659000,662000,665000,668000,671000,673000,675000,677000,679000
Cambodia,KHM,12405411,12637719,12856171,13066475,13273355,13477705,13679953,13883835,14093605,14312205,14541421,14780454,15026330,15274506,15521435,15766290,16009413,16249795,16486542,16718971,16946446,17169000,17386000,17598000,17806000,18009000,18207000,18402000,18593000,18781000,18967000,19150000,19331000,19509000,19686000,19860000,20031000,20200000,20366000,20527000,20683000,20835000,20982000,21124000,21261000,21392000,21518000,21638000,21753000,21861000
Cameroon,CMR,15928910,16357605,16800869,17259322,17733408,18223677,18730283,19252674,19789922,20341236,20906392,21485267,22077300,22681853,23298376,23926549,24566070,25216261,25876387,26545864,27224262,27912000,28608000,29315000,30032000,30759000,31497000,32244000,33001000,33766000,34540000,35323000,36115000,36915000,37722000,38538000,39362000,40193000,41030000,41873000,42723000,43578000,44437000,45302000,46172000,47046000,47924000,48806000,49689000,50573000
Canada,CAN,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38037204,38246108,38557000,38864000,39170000,39473000,39773000,40069000,40360000,40645000,40925000,41200000,41469000,41731000,41986000,42234000,42475000,42709000,42937000,43159000,43376000,43588000,43795000,43999000,44201000,44401000,44601000,44801000,45002000,45207000,45410000
Caribbean small states,CSS,6559097,6604966,6650981,6696985,6742657,6788122,6833394,6878973,6925446,6973193,7022367,7072640,7123315,7173443,7222197,7269385,7314956,7358929,7401389,7442291,7481631,7520000,7555000,7589000,7622000,7651000,7679000,7703000,7728000,7751000,7769000,7787000,7803000,7817000,7828000,7838000,7845000,7852000,7853000,7854000,7852000,7851000,7845000,7840000,7833000,7823000,7808000,7798000,7782000,7765000
Cayman Islands,CYM,43934,45347,46624,47899,49261,50729,52280,53835,55321,56672,57877,58963,59933,60848,61721,62564,63382,64172,64948,65720,66498,67000,68000,69000,70000,70000,71000,72000,73000,73000,74000,75000,75000,76000,77000,77000,78000,79000,79000,80000,81000,81000,82000,82000,83000,83000,84000,84000,84000,85000
Central African Republic,CAF,3722016,3802129,3881185,3959883,4038380,4118075,4198004,4273368,4337623,4386765,4418639,4436411,4447945,4464171,4493171,4537683,4596023,4666375,4745179,4829764,4919987,5017000,5119000,5227000,5338000,5454000,5572000,5694000,5817000,5942000,6068000,6195000,6323000,6450000,6577000,6704000,6831000,6956000,7081000,7205000,7329000,7451000,7573000,7693000,7813000,7933000,8051000,8169000,8285000,8401000
Central Europe and the Baltics,CEB,107660041,106959751,106624167,106331716,106041911,105772481,105378748,105001883,104800475,104421447,104174038,103935318,103713726,103496179,103257886,102994278,102740078,102538451,102398494,102172351,101669618,101366000,101069000,100756000,100426000,100072000,99695000,99300000,98878000,98443000,97989000,97515000,97033000,96533000,96029000,95518000,95003000,94492000,93980000,93476000,92977000,92488000,92006000,91529000,91062000,90600000,90142000,89683000,89223000,88744000
Chad,TCD,8678049,9019226,9373913,9734761,10096630,10457122,10818031,11183589,11560142,11952134,12360986,12784748,13220433,13663562,14110971,14561658,15016761,15477727,15946882,16425859,16914985,17414000,17921000,18437000,18961000,19491000,20030000,20576000,21129000,21690000,22259000,22834000,23415000,24003000,24597000,25196000,25800000,26409000,27024000,27643000,28267000,28895000,29528000,30164000,30802000,31444000,32088000,32734000,33382000,34031000
Channel Islands,CHI,149097,149591,150070,150722,151674,152999,154644,156441,158187,159718,160990,162051,163039,164107,165387,166922,168666,170496,172264,173859,175244,176000,178000,179000,180000,181000,182000,183000,184000,185000,186000,187000,188000,189000,190000,190000,191000,192000,193000,194000,194000,195000,196000,196000,197000,197000,198000,198000,199000,199000
Chile,CHL,15516112,15684413,15849649,16014972,16182713,16354507,16530201,16708255,16886184,17062531,17233584,17400359,17571511,17758969,17969356,18209072,18470435,18729166,18952035,19116209,19212362,19250000,19249000,19239000,19241000,19260000,19293000,19338000,19394000,19458000,19533000,19618000,19710000,19798000,19879000,19950000,20012000,20066000,20114000,20157000,20195000,20228000,20256000,20279000,20297000,20310000,20319000,20323000,20323000,20319000
China,CHN,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1416216000,1419624000,1422533000,1424932000,1426839000,1428283000,1429300000,1429919000,1430161000,1430026000,1429506000,1428591000,1427276000,1425575000,1423522000,1421161000,1418531000,1415656000,1412538000,1409155000,1405474000,1401471000,1397133000,1392450000,1387415000,1382030000,1376302000,1370249000,1363681000
Colombia,COL,40255956,40875363,41483872,42075953,42647731,43200901,43737512,44254972,44750054,45222699,45662747,46075721,46495492,46967706,47520667,48175048,48909844,49661056,50339443,50882884,51265841,51513000,51673000,51820000,52007000,52249000,52530000,52835000,53136000,53417000,53674000,53914000,54139000,54350000,54549000,54735000,54906000,55062000,55206000,55336000,55454000,55558000,55650000,55730000,55797000,55853000,55897000,55930000,55950000,55958000
Comoros,COM,555895,569480,583213,597230,611625,626427,641624,657227,673251,689696,706578,723865,741511,759390,777435,795597,813890,832322,850891,869595,888456,907000,926000,946000,965000,984000,1004000,1024000,1043000,1063000,1083000,1103000,1123000,1143000,1164000,1184000,1205000,1225000,1246000,1266000,1287000,1308000,1328000,1349000,1370000,1390000,1411000,1431000,1452000,1472000
"Congo, Dem. Rep.",COD,48428534,49871670,51425583,53068869,54785894,56578046,58453687,60411195,62448572,64563853,66755151,69020749,71358804,73767445,76244532,78789130,81398765,84068092,86790568,89561404,92377986,95241000,98152000,101115000,104134000,107206000,110332000,113514000,116751000,120047000,123400000,126808000,130270000,133780000,137337000,140936000,144577000,148257000,151974000,155725000,159508000,163320000,167158000,171018000,174895000,178788000,182695000,186614000,190546000,194489000
"Congo, Rep.",COG,3217930,3310376,3406915,3510468,3622775,3745143,3876123,4011487,4145400,4273738,4394842,4510197,4622757,4736965,4856093,4980996,5110701,5244363,5380504,5518092,5657017,5798000,5941000,6086000,6235000,6386000,6540000,6697000,6857000,7020000,7185000,7353000,7523000,7696000,7871000,8048000,8228000,8409000,8592000,8777000,8963000,9151000,9341000,9532000,9724000,9917000,10112000,10308000,10504000,10702000
Costa Rica,CRI,4034074,4100922,4164053,4225156,4285504,4345421,4404626,4463123,4520739,4577371,4633086,4688003,4742111,4795390,4847805,4899336,4949955,4999443,5047561,5094114,5139053,5182000,5224000,5264000,5302000,5339000,5373000,5406000,5438000,5468000,5497000,5524000,5550000,5575000,5598000,5620000,5640000,5659000,5676000,5692000,5706000,5719000,5731000,5741000,5749000,5757000,5763000,5767000,5771000,5773000
Cote d'Ivoire,CIV,16853027,17231539,17599613,17970493,18354513,18754914,19171250,19605568,20059147,20532944,21028652,21547188,22087506,22647672,23226148,23822726,24437475,25069226,25716554,26378275,27053629,27742000,28444000,29160000,29888000,30630000,31384000,32150000,32926000,33713000,34508000,35313000,36127000,36950000,37783000,38625000,39476000,40337000,41206000,42083000,42969000,43862000,44764000,45673000,46589000,47511000,48441000,49376000,50317000,51264000
Croatia,HRV,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3899000,3877000,3857000,3836000,3815000,3793000,3771000,3748000,3725000,3702000,3679000,3655000,3631000,3606000,3581000,3555000,3530000,3504000,3478000,3452000,3427000,3401000,3376000,3350000,3325000,3299000,3274000,3249000,3224000,3198000
Cuba,CUB,11164676,11199664,11229185,11250369,11261586,11261241,11251117,11236975,11226711,11225833,11236671,11257112,11282722,11306909,11324777,11335108,11339255,11338146,11333484,11326616,11317498,11306000,11291000,11275000,11257000,11237000,11216000,11193000,11169000,11142000,11114000,11084000,11052000,11017000,10981000,10942000,10901000,10858000,10813000,10765000,10715000,10662000,10608000,10551000,10492000,10430000,10367000,10301000,10233000,10162000
Curacao,CUW,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159664,160175,159336,157441,154947,152369,153000,154000,154000,155000,156000,156000,157000,157000,158000,158000,158000,159000,159000,160000,160000,160000,160000,161000,161000,161000,161000,161000,161000,161000,161000,161000,162000,162000,162000
Cyprus,CYP,960274,976968,993562,1010410,1027657,1045508,1063708,1081568,1098089,1112617,1124837,1135046,1143866,1152297,1160987,1170189,1179685,1189262,1198574,1207361,1215588,1223000,1231000,1238000,1245000,1251000,1257000,1263000,1269000,1275000,1280000,1286000,1291000,1296000,1301000,1306000,1311000,1315000,1320000,1324000,1328000,1332000,1335000,1339000,1342000,1345000,1348000,1350000,1353000,1355000
